,영업활동으로 인한 현금흐름,당기연결순이익(손실),비현금항목 조정,운전자본 조정,이자의 수취,이자의 지급,배당금의 수취,법인세의 납부,투자활동으로 인한 현금흐름,장단기금융상품의 순증감,장기투자증권의 취득,장기투자증권의 처분,관계기업 및 공동기업투자의 취득,관계기업 및 공동기업투자의 처분,유형자산의 취득,유형자산의 처분,무형자산의 취득,무형자산의 처분,투자부동산의 취득,단기대여금의 순증감,장기대여금의 순증감,보증금의 순증감,신주인수권의 취득,매각예정자산 및 부채의 처분,연결범위변동으로 인한 현금유출,정부보조금의 수령,기타투자활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,단기차입금의 순증감,사채 및 장기차입금의 차입,사채 및 장기차입금의 상환,리스부채의 감소,리스인센티브의 수취,임대보증금의 순증감,배당금지급,자기주식의 취득,종속기업의 유상증자 및 소유지분 변동,현금및현금성자산의 순증감,기초의 현금및현금성자산,현금및현금성자산의 환율변동효과,기말의 현금및현금성자산
20100101,311091740000,,1473671240000,-1678644536000,61319561000,388735446000,14256537000,319957217000,-754507419000,-46788749000,98122718000,68258958000,71446653000,32929224000.0,443578845000,127639708000,358164699000,20922677000,,7249682000,,-1351275000,,,,,,689907799000,855487775000,,1604216565000,,,695148000,198126632000.0,,,246492120000.0,2767351780000,-325402000,3013518498000
20110101,2722080392000,,424480805000,-12740097000,99698811000,518078054000,25322507000,472447131000,813693022000,-60018639000,37487984000,11235353000,507606579000,155346431000.0,1192157735000,86540902000,251441400000,69331756000,,5919852000,42544175000.0,-1431348000,,2286637354000.0,,,,-2084756015000,-491352544000,,1995633116000,,,164608000,198637468000.0,,,1451017399000.0,2948579038000,-3677764000,4395918673000
20120101,1161635588000,,1310138738000,-519581776000,108972192000,345872264000,54440944000,628813911000,-2461846802000,-726325885000,57506394000,15889132000,62885483000,32342781000.0,1577567953000,31801482000,246223736000,23640009000,,-56254643000,-27650429000.0,-14336140000,,49717680000.0,,,,-242043864000,-1190336876000,,394342270000,,,19770198000,264125942000.0,,3159211000.0,-1542255078000.0,4395918673000,-24878771000,2828784824000
20130101,1378981886000,,1239933971000,-123565431000,87664484000,289624704000,72410483000,386570066000,-1979056748000,774488929000,14828131000,14793016000,350015549000,15245054000.0,2723371146000,89507919000,198425488000,10630052000,,-5459035000,200547935000.0,-337986000,,190400000000.0,,,3279953000.0,634635341000,705871861000,,1766545572000,3279953000.0,,88356000,299299861000.0,,58522892000.0,34560479000.0,2828784824000,-14745275000,2848600028000
20140101,927140704000,,1168708375000,807305822000,59363679000,229684787000,108021582000,449408438000,-2569445183000,-70935146000,11443763000,28176050000,416289760000,21438000000.0,1635143947000,81208060000,668579316000,3866542000,,-830034000,84787349000.0,-1322911000,,,,,-4270230000.0,1709913561000,726348204000,2042161160000.0,793426575000,-4270230000.0,,7426640000,299561133000.0,,26965265000.0,67609082000.0,2848600028000,22396193000,2938605303000
20150101,4085705058000,,2184601869000,1560453472000,49932970000,246135531000,76412828000,407237285000,-1345352677000,-1453931941000,73237326000,69948937000,173767125000,293215399000.0,448759912000,100151025000,248722057000,4366743000,,10839518000,-20292132000.0,-5050477000,,,,,6148117000.0,-2768287567000,-2629427502000,1014874690000.0,1153770580000,6148117000.0,,35825000,,,,-27935186000.0,2938605303000,109000758000,3019670875000
20160101,3677753976000,,2354090951000,268032016000,82413086000,258501948000,29553884000,519268302000,-2056093585000,-1382278027000,30771263000,8850179000,18872400000,,606973956000,40400588000,57712924000,3204453000,,-57409000,-10674081000.0,1941515000,,,0.0,,617952000.0,-2018612047000,-367655691000,479514300000.0,1680383499000,617952000.0,,1208598000,451295755000.0,,,,3019670875000,21494292000,2644213511000
20170101,2160401502000,2136856762000.0,1976850822000,-1212443542000,77811611000,210773175000,41348453000,649249429000,-1063455574000,780324468000,45741189000,38279752000,125897922000,0.0,935735166000,74507251000,71905766000,2227387000,,16906282000,609545000.0,5752544000,,0.0,8003924000.0,,0.0,-1650822226000,223446551000,548481831000.0,-1670460666000,421979000.0,,-4157063000,748823409000.0,0.0,0.0,-553876298000.0,2612603416000,-81171594000,1977555524000
20180101,1699481488000,1699046923000.0,1997128178000,-1158193360000,87066881000,244005916000,48111050000,729672268000,-2469385304000,-424229128000,61469170000,15341957000,298421691000,30065431000.0,1271505428000,37119656000,211770089000,2636070000,,-9367336000,64568331000.0,11474495000,,90204190000.0,0.0,,0.0,604266744000,-89818127000,3820166744000.0,-1313138575000,0.0,,1141890000,812285011000.0,1001800177000.0,0.0,-165637072000.0,1977555524000,13639833000,1825558285000
20190101,1825833804000,65774590000.0,1955044416000,535287473000,99004065000,350641611000,50324968000,528960097000,-3166766482000,301258691000,107296517000,26032759000,510481382000,2684209000.0,2576601285000,79577375000,177748701000,10577657000,,-17037969000,225181346000.0,13999458000,,,-15439396000.0,,,1686074554000,977044924000,3370551362000.0,-1261717115000,193813605000.0,,402724000,1003950847000.0,,,345141876000.0,1825558285000,25301235000,2196001396000
20200101,2850843672000,-2146738601000.0,1142752565000,4272127830000,59435188000,373695164000,87334116000,190372262000,-4128744600000,394955205000,20557709000,47359606000,207495683000,4103651000.0,3763137383000,5888100000,138511749000,24877333000,,35386513000,16261746000.0,31642503000,,66807149000.0,-448757236000.0,,-10985122000.0,2144735915000,417721052000,3440678378000.0,-1196421429000,223855892000.0,,-2441080000,149275978000.0,496175958000.0,354506822000.0,866834987000.0,2196001396000,-122175127000,2940661256000
20210101,-495480899000,488509884000.0,2012466185000,-2585469766000,53103672000,418430179000,216601874000,262262569000,-4110731161000,-2040693908000,67399129000,30381209000,53755299000,350351320000.0,3175237444000,902453365000,78449902000,712883000,451624000.0,-2382276000,-7327900000.0,67682138000,-31654644000.0,60661235000.0,-11795163000.0,74076194000.0,-11958292000.0,5029706015000,-723779543000,4414768092000.0,-1855757605000,242002765000.0,,6896311000,25196660000.0,,3454778185000.0,423493955000.0,2940661256000,59671950000,3423827161000
20220101,406557024000,1895179127000.0,3866762681000,-4270406714000,199313431000,670616802000,125104857000,738779556000,-5123322784000,2525967690000,199537204000,14212641000,530204046000,5696767000.0,6776585583000,67009215000,290980099000,2579813000,5216000.0,-27015910000,6020741000.0,25681273000,-8743997000.0,5058706000.0,-7446507000.0,181844255000.0,-107503115000.0,10507172706000,6883645547000,4166619804000.0,-1751413043000,279757464000.0,1072895000.0,1313615000,217200803000.0,,1702892155000.0,5790406946000.0,3423827161000,264852422000,9479086529000
