,영업활동현금흐름,영업에서 창출된 현금흐름,당기순이익,조정,순운전자본의 변동,이자의 수취,이자의 지급,배당금 수익,법인세 부담액,투자활동현금흐름,유형자산의 처분,무형자산의 처분,단기금융상품의 순증감,상각후원가측정금융자산의 회수,단기대여금의 감소,단기대여금의 증가,기타비유동자산의 감소,기타비유동자산의 증가,관계기업투자주식의 취득,상각후원가측정금융자산의 취득,유형자산의 취득,무형자산의 취득,보증금의 감소,보증금의 증가,당기손익-공정가치측정금융자산의취득,기타포괄-공정가치 측정 금융자산의 처분,재무활동현금흐름,단기차입부채의 순증감,리스부채의 감소,임대보증금의 증가,임대보증금의 감소,현금및현금성자산에 대한 환율변동효과,현금및현금성자산의 증감,기초의 현금및현금성자산,기말의 현금및현금성자산
20100101,201295224413,248857178919,336622554671,186115405560,-273880781312,32608362415,3556501395,1736099693,78349915219,-116791624471,1408844312,393282172.0,61758088437,,,,56689394.0,,,,169823243029,9357890617,,,,,-195206791522,12486892698,,,,1329539635,-109373651945,518075404004,408701752059
20110101,38369824027,104397747929,514525683570,210126511003,-620254446644,39930425073,11189883319,1590346700,96358812356,228031529311,2428294926,1192923045.0,469630338480,,,,-6302710309.0,,,,267415443815,10186965201,,,,,-108395611747,-16226681747,,,,-6689347687,151316393904,408701752059,560018145963
20120101,-198920441093,-13807905117,524464528023,360730482493,-899002915633,13183919769,21272970606,1307835800,178331320939,-173589057215,1157536447,2053538408.0,118058148901,,,,-11813476416.0,,,,208701735162,13557669500,,,,,258797848011,369650424011,,,,-9896720751,-123608371048,560018145963,436409774915
20130101,-1230923921082,-1006787330552,-708658932989,71577132989,-369705530552,9613622572,28665218850,1182736000,206267730252,80627986767,8375196473,,-56840525709,,,,-9623593914.0,,,,42985955068,17299295105,-9623593914.0,,,,989996003199,662834039181,,,,-12325716097,-172625647213,436409774915,263784127702
20140101,277739400312,397458695133,56353493772,142652549182,198452652179,6755932683,43212289356,1072771400,84335709548,-221881170398,14510094424,4518599328.0,-67695145358,,1074164786.0,6200000000.0,1621197978.0,26430198398.0,,,67889675174,56365113293,1621197978.0,,,,49788944148,234527839252,,,,18611670839,124258844901,263784127702,388042972603
20150101,-833499386418,-667627477114,-1304348694059,266899187792,369822029153,9317942133,44037843159,1180619000,132332627278,20351631296,38763634789,2789400036.0,62881408580,,2100000000.0,1850000000.0,50594187659.0,109838087986.0,,,20235110009,25170440344,50594187659.0,,,,1072379405750,133817218250,,,,48459063128,307690713756,388042972603,695733686359
20160101,187923501935,294896422010,10265144707,27855741953,256775535350,14402412971,51199320248,3995379000,74171391798,94355815551,5385260192,905274881.0,38007323469,,2074951250.0,,83310000000.0,,,,24146242545,14479862650,83310000000.0,,,,-101871605313,-796844449253,,,,6037126182,186444838355,695733686359,882178524714
20170101,-134040755349,-12349578856,-71232488084,119962013486,-61079104258,6532022817,51446718635,5362565400,82139046075,-15242401006,6186184925,1943501229.0,2815229465,,8392090905.0,19200000000.0,62981041.0,-55633066.0,,,13799219544,8634827082,9728109535.0,3054346723.0,,,38061675017,252500725000,,,,-25836534149,-137058015487,882178524714,745120509227
20180101,446248383510,551545035687,62855609957,252065272702,236624153028,10362700176,44991264195,2502582600,73170670758,20693958053,12413852412,,21561127231,74085000.0,13492965353.0,7000000000.0,,-80826306.0,,156780000.0,14606916339,9321965064,10828496034.0,6494302960.0,,,-849172772290,-456142124290,,4570902000.0,,6470382205,-375760048522,745120509227,369360460705
20190101,784124248896,840084277258,323809854401,148509473219,367764949638,8572354932,16574362069,3025283200,50983304425,-147210896598,3359522109,336369350.0,-98593544574,148605000.0,8178701635.0,16285270914.0,25836482.0,-5910406895.0,,365880000.0,19602514423,11042030431,11915977301.0,10857897920.0,,595000.0,-422260002171,-298594985668,6874117261.0,,192982000.0,5498382705,220151732832,369360460705,589512193537
20200101,44368719200,87687911962,252135563290,208360545231,-372808196559,10602446302,7968040094,3477310149,49430909119,73419554723,949031121,22102142.0,97697472228,94250000.0,18181709443.0,4800000000.0,2000000.0,-56388046.0,,75999152.0,23440156016,13687481720,5269384549.0,6736369826.0,,,70430800336,84373685058,13563245545.0,31092000.0,410731177.0,-29739830376,158479243883,589512193537,747991437420
20210101,739825439031,805796461214,351071466376,288960298442,165764696396,8378735405,5256464003,3133590455,72226884040,-201253407255,1107280196,1948461.0,-143526354479,31600000.0,6693274818.0,6000000000.0,36215074.0,-638857600.0,,268560000.0,29754045970,27951609396,7535984343.0,8520282702.0,,,-208204188912,-196746409639,11501265045.0,54615772.0,11130000.0,59951433025,390319275889,747991437420,1138310713309
20220101,576706460947,718226206138,595319035026,426634621468,-303727450356,10756572181,14430582016,3351874188,141197609544,-528754532200,2093144132,4161499.0,-384729991879,32775000.0,8767821627.0,4240000000.0,,-361028595.0,-5090236609.0,109790000.0,20705728905,36483829748,1957956181.0,5191870172.0,-86559114731.0,1861200000.0,174668880073,188461414500,14187629426.0,395094999.0,,51139054816,273759863636,1138310713309,1412070576945
