,영업활동으로 인한 순현금흐름,영업활동에서 창출된 현금흐름,당기순이익(손실),조정항목,이자의 수취,이자의 지급,배당금의 수취,법인세의 환급(납부),투자활동으로 인한 순현금흐름,단기금융자산의 순증감,기타채권의 감소,관계기업및공동기업투자의 감소,장기금융자산의 감소,장기기타채권의 감소,투자부동산의 처분,유형자산의 처분,무형자산의 처분,매각예정비유동자산의 처분,정부보조금의 수령,기타비유동자산의 감소,기타채권의 증가,관계기업및공동기업투자의 증가,장기금융자산의 증가,장기기타채권의 증가,투자부동산의 취득,유형자산의 취득,무형자산의 취득,기타비유동자산의 증가,연결범위의 변동(지배력의 취득),연결범위의 변동(지배력의 상실),영업양도로 인한 변동,재무활동으로 인한 순현금흐름,단기금융부채의 증가,장기금융부채의 증가,종속기업의 유상증자,비지배지분의 증가,단기금융부채의 감소,장기금융부채의 감소,리스부채의 상환,비지배지분에 대한 배당,매각예정자산의 순현금변동,매각예정자산 대체,현금및현금성자산에 대한 환율변동효과,현금및현금성자산의 증가,기초의 현금및현금성자산,기말의 현금및현금성자산
20100101,251029941000,,4562681841000,,326579353000,161918385000,84808581000,,-3414630010000,,84568263000,,74764313000,87171031000,,1112373474000,7601771000,,1198649000,,6256092000.0,,-129215773000,-4043387000.0,,1781271667000,109162190000,-52165173000.0,,,,3103178041000,8885408499000,803769826000,,236461681000.0,-6480894585000,-93331320000.0,,-45335934000,,,1811530000,,1937411574000,1878801076000
20110101,503543423000,,2753349668000,,468988719000,398764791000,67147385000,,-1366795385000,,60652540000,39869909000.0,80702648000,90862139000,,43596212000,3494680000,,6960397000,,,,-512101811000,,481937000.0,1626702018000,70527207000,-29436442000.0,161442459000.0,,,598784616000,13098949870000,1484775397000,,20958284000.0,-13231735845000,-293176438000.0,,-70497979000,,,-4354277000,,1878801076000,1609979453000
20120101,-3459075408000,,1029642958000,,385506984000,504180991000,56100614000,,-809287176000,,347754000,490807000.0,947186881000,17580620000,,42408096000,4629691000,,1455839000,426576000.0,6020000000.0,,-216789770000,-34333795000.0,664383000.0,1095371977000,81790855000,-20656454000.0,27725094000.0,,,3774048823000,26389375077000,4624950579000,,85666448000.0,-27066247362000,-3916617000.0,,-21431942000,,,-7975539000,,1609979453000,1107690153000
20130101,490129852000,1172944572000.0,145483064000,1027461508000.0,320016809000,443489722000,52965217000,-612307024000.0,-1149947511000,,8110000000,73546738000.0,398583959000,185967101000,3666402000.0,85864801000,4221360000,,1702339000,,2312377000.0,-69346858000.0,-461385620000,-89996020000.0,60744000.0,1149155828000,99213183000,-10905411000.0,,,,897769576000,28384487181000,1840632273000,,20005640000.0,-28488829701000,-701872731000.0,,-10184412000,,,-2206267000,235745650000.0,1091240884000,1326986534000
20140101,1502395252000,1629556680000.0,-2213786979000,3843343659000.0,305581462000,403909861000,92296690000,-121129719000.0,-428108029000,,9489599000,7934700000.0,1259339673000,70034423000,15236500000.0,127075010000,5843993000,,5782891000,669690000.0,25089000.0,-44133500000.0,-561192828000,-57986741000.0,402000.0,1299746169000,64899898000,-6018000.0,105916775000.0,105916775000.0,,836844287000,24421045435000,3948291136000,,90706851000.0,-27531274905000,-399299658000.0,,-3949556000,,,-8930543000,1902200967000.0,1326986534000,3229187501000
20150101,-637435927000,-614330321000.0,-1375768355000,761438034000.0,255505246000,400651840000,86977614000,35063374000.0,-138568493000,,4967260000,143548055000.0,1599798825000,101923582000,,45737187000,24683479000,,736168000,7059480000.0,63469000.0,-45856960000.0,-634495468000,-36447519000.0,232536000.0,1272418034000,52926465000,,29517071000.0,29517071000.0,,612696031000,20633596894000,4520814336000,,146388389000.0,-24454311558000,-556399241000.0,,-8186536000,,,2243462000,-161064927000.0,3229187501000,3068122574000
20160101,2649202768000,2923057743000.0,626990744000,2296066999000.0,200800188000,415583956000,50633453000,-109704660000.0,-524754490000,,1811403000,18924095000.0,1233268495000,89694736000,,200862482000,16789280000,96120363000.0,10413980000,,26281624000.0,-26795472000.0,-864749889000,-38611064000.0,24889000.0,1135451810000,57474567000,-349474000.0,-1248534000.0,-1248534000.0,,-875929545000,16337988694000,1440519418000,,53875843000.0,-18445379021000,-190347788000.0,,-51586691000,,,9851969000,1258370702000.0,3068122574000,4326493276000
20170101,593314273000,894252428000.0,2693141932000,-1798889504000.0,144484691000,277973922000,18944993000,-186393917000.0,596311709000,-150465818000.0,7186438000,9545331000.0,1522002147000,32863519000,,103176457000,7311255000,123204942000.0,440941000,309801000.0,,-17306320000.0,-901274248000,-21121009000.0,,373340834000,24084198000,,-34611386000.0,312474691000.0,,-2122517402000,12892770854000,1992028246000,,893159000.0,-15372101668000,-769225308000.0,,-12659921000,-129506848000.0,,-24368063000,-1086766331000.0,4326493276000,3239726945000
20180101,126519621000,169758466000.0,-453610241000,623368707000.0,140694998000,170526399000,30112507000,-43519951000.0,-5728546000,-806156539000.0,8535459000,18078000000.0,156299581000,2050170000,,63717993000,1995564000,1020872543000.0,180322000,8979600000.0,,-25144240000.0,-228557180000,-6048856000.0,319106000.0,225753404000,5801348000,-967700000.0,,12310595000.0,,-329381195000,3303992711000,1161165898000,,2013820000.0,-6327352207000,,,-2428909000,7634564000.0,,3014811000,-197940745000.0,3239726945000,3041786200000
20190101,-1464118747000,-1410650258000.0,213081106000,-1623731364000.0,96838254000,158806223000,2175307000,6324173000.0,-329586110000,-209263058000.0,8188732000,,30765251000,32947457000,32353000.0,65938549000,2984000,164123554000.0,910967000,2693275000.0,-47279148000.0,,-8623875000,-36483383000.0,57793000.0,404680134000,16034423000,-507753000.0,-31328427000.0,137961709000.0,,973249362000,4315864846000,1757680270000,56925699000.0,,-4679396324000,,-10761665000.0,-16063465000,,,3812485000,-816643010000.0,3041786200000,2225143190000
20200101,-89969458000,42753445000.0,-835177677000,877931122000.0,63707507000,188583879000,13341728000,-21188259000.0,457083409000,636905092000.0,14268733000,,14767079000,4112767000,110337000.0,47071864000,808701000,123836284000.0,1005562000,,-2962191000.0,-31406018000.0,-4913175000,-6048357000.0,17465000.0,378436876000,11820456000,-40000000.0,36930881000.0,619471000.0,12291176000.0,1226776696000,3780974212000,2653514357000,,57570841000.0,-5117101766000,-121344033000.0,-17584916000.0,-9251999000,,-101900045000.0,-13723875000,1478266727000.0,2225143190000,3703409917000
20210101,835843497000,886272198000.0,-1141204413000,2027476611000.0,53382372000,166211716000,46580880000,15819763000.0,181471920000,183955057000.0,9070123000,146400000000.0,1035372000,23258092000,,29272278000,4835398000,171273509000.0,419876000,,,-13939848000.0,-861045000,-27569679000.0,,382988973000,27394056000,,,64705816000.0,,-189007857000,2133254312000,1825921430000,1068422903000.0,,-4668021886000,-525886000000.0,-18927850000.0,-3770766000,30792379000.0,,4958242000,864058181000.0,3703409917000,4567468098000
20220101,462245767000,478228852000.0,-295177096000,773405948000.0,124436788000,128201638000,6449395000,-18667630000.0,-1339470657000,-651602633000.0,9225000,31528667000.0,1009706000,4949647000,,23631045000,1850000000,18470560000.0,734780000,2385480000.0,,-23949000000.0,-19422650000,-11499010000.0,,666891005000,40508614000,-9825000000.0,,-341855000.0,,-977270382000,2146486555000,643948328000,,181326791000.0,-3901565317000,-24020709000.0,-20620884000.0,-2825146000,,,-15749960000,-1870245232000.0,4567468098000,2697222866000
